epoch,train_masked_mse,monitor_masked_mse,train_seconds,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_reconstruction,epochs_without_improvement
1,18.33612060546875,18.183284759521484,81.28084971010685,9.090979546308517,0.001,8192,1,18.183284759521484,0
2,18.032978057861328,17.560394287109375,13.800695292651653,0.5523235648870468,0.001,8192,2,17.560394287109375,0
3,17.109146118164062,17.480548858642578,12.307523004710674,0.1544451266527176,0.001,8192,3,17.480548858642578,0
4,15.608107566833496,17.31328582763672,11.855009108781815,0.7271687984466553,0.001,8192,4,17.31328582763672,0
5,14.133055686950684,17.328990936279297,11.83431850373745,0.16405168920755386,0.001,8192,4,17.31328582763672,1
6,13.302191734313965,16.704959869384766,11.321355544030666,0.20346131175756454,0.001,8192,6,16.704959869384766,0
7,12.54838752746582,16.373123168945312,10.90327138453722,0.18183325231075287,0.001,8192,7,16.373123168945312,0
8,11.309762954711914,16.244853973388672,9.132788255810738,0.5396018326282501,0.001,8192,8,16.244853973388672,0
9,10.470215797424316,14.958195686340332,10.111114874482155,0.15432389080524445,0.001,8192,9,14.958195686340332,0
10,9.774482727050781,12.62586498260498,9.458383344113827,0.18500054627656937,0.001,8192,10,12.62586498260498,0
11,9.1836519241333,10.509943008422852,7.41332283616066,0.2147797867655754,0.001,8192,11,10.509943008422852,0
12,8.85069465637207,9.698968887329102,8.231345675885677,0.2340150773525238,0.001,8192,12,9.698968887329102,0
13,8.485440254211426,9.282571792602539,8.475220896303654,0.30305368453264236,0.001,8192,13,9.282571792602539,0
14,8.069022178649902,9.178022384643555,8.070551462471485,0.17402531206607819,0.001,8192,14,9.178022384643555,0
15,7.791728496551514,8.621369361877441,5.672001011669636,0.13721947371959686,0.001,8192,15,8.621369361877441,0
16,7.682012557983398,8.022360801696777,5.903768338263035,0.17705314606428146,0.001,8192,16,8.022360801696777,0
17,7.4656805992126465,7.285497665405273,7.035128816962242,0.4919813871383667,0.001,8192,17,7.285497665405273,0
18,7.247452735900879,7.035628318786621,6.379730701446533,0.2068503499031067,0.001,8192,18,7.035628318786621,0
19,7.247591018676758,6.9604973793029785,8.263876520097256,0.2952403947710991,0.001,8192,19,6.9604973793029785,0
20,7.036905288696289,7.0060200691223145,6.283408045768738,0.18522265553474426,0.001,8192,19,6.9604973793029785,1
21,6.968266487121582,6.7726240158081055,6.337616994976997,0.802845872938633,0.001,8192,21,6.7726240158081055,0
22,6.806207656860352,6.767987251281738,16.089716121554375,0.18443607538938522,0.001,8192,22,6.767987251281738,0
23,6.712556838989258,6.706387996673584,7.624661400914192,0.3671770319342613,0.001,8192,23,6.706387996673584,0
24,6.54116678237915,6.50499153137207,5.770970366895199,0.14939134567975998,0.001,8192,24,6.50499153137207,0
25,6.415771961212158,6.283897876739502,5.597088567912579,0.14656976610422134,0.001,8192,25,6.283897876739502,0
26,6.3262104988098145,6.251277446746826,4.9080615639686584,0.18476685136556625,0.001,8192,26,6.251277446746826,0
27,6.24677848815918,6.20778751373291,6.114070564508438,0.909893237054348,0.001,8192,27,6.20778751373291,0
28,6.175652027130127,6.323946475982666,8.039245918393135,0.42175592482089996,0.001,8192,27,6.20778751373291,1
29,6.08581018447876,6.137203216552734,5.480930984020233,0.19825595617294312,0.001,8192,29,6.137203216552734,0
30,6.064449310302734,6.006927490234375,4.749189101159573,0.35417362302541733,0.001,8192,30,6.006927490234375,0
31,5.957783222198486,5.996670246124268,4.765903390944004,0.5051333010196686,0.001,8192,31,5.996670246124268,0
32,5.962924003601074,5.976950645446777,5.061134599149227,0.1636590138077736,0.001,8192,32,5.976950645446777,0
33,5.8920416831970215,5.9483747482299805,5.974489204585552,0.7021920457482338,0.001,8192,33,5.9483747482299805,0
34,5.8868231773376465,5.954833030700684,7.549988187849522,0.6774710714817047,0.001,8192,33,5.9483747482299805,1
35,5.83317232131958,5.930057525634766,7.7198953703045845,0.18765974789857864,0.001,8192,35,5.930057525634766,0
36,5.77075719833374,5.993807792663574,6.244065955281258,0.20900732278823853,0.001,8192,35,5.930057525634766,1
37,5.774473190307617,5.800710678100586,3.268105886876583,0.4432274326682091,0.001,8192,37,5.800710678100586,0
38,5.777016639709473,5.750999450683594,4.200988382101059,0.31985796988010406,0.001,8192,38,5.750999450683594,0
39,5.7216410636901855,5.718454360961914,4.962042883038521,0.3790934234857559,0.001,8192,39,5.718454360961914,0
40,5.701888084411621,5.824071884155273,3.4406638741493225,0.16062507778406143,0.001,8192,39,5.718454360961914,1
41,5.667677879333496,5.838499069213867,4.149888604879379,0.25228308141231537,0.001,8192,39,5.718454360961914,2
42,5.754192352294922,5.711187839508057,3.545034721493721,0.17669009417295456,0.001,8192,42,5.711187839508057,0
43,5.63416862487793,5.696949005126953,3.233902432024479,0.15892145037651062,0.001,8192,43,5.696949005126953,0
44,5.6315155029296875,5.60953426361084,3.3386806547641754,0.407866470515728,0.001,8192,44,5.60953426361084,0
45,5.618021011352539,5.504528522491455,2.5669592022895813,0.2794962376356125,0.001,8192,45,5.504528522491455,0
46,5.622619152069092,5.645946502685547,3.343798354268074,0.5496683642268181,0.001,8192,45,5.504528522491455,1
47,5.5960540771484375,5.5982346534729,3.2957451567053795,0.29115167260169983,0.001,8192,45,5.504528522491455,2
48,5.63169002532959,5.59510612487793,3.312752239406109,0.2712121903896332,0.001,8192,45,5.504528522491455,3
49,5.600828170776367,5.572320938110352,4.15589103102684,0.14333871752023697,0.001,8192,45,5.504528522491455,4
50,5.604915142059326,5.475179195404053,3.5041675716638565,0.1415645182132721,0.001,8192,50,5.475179195404053,0
