epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
12,0.027665698082487127,0.022962492139277178,0.013527760449898753,0.026425315756395364,0.17091178708746346,0.18215345463342938,0.4398790983227588,0.7341549598832949,0.08674326772141686,95.4717319458723,0.05020359414187564,0.04396716888347254,0.020735353501340228,0.021051760576308285,0.22326537934933413,0.16800226132453458,0.3731876708550093,0.6330323450028162,0.10185480589144187,12.952121958136559,0.001,5640,12,0.22326537934933413,0
13,0.026200462204148022,0.021656596921625044,0.013126396681936832,0.025245321898562382,0.16633676291575925,0.19076021193130227,0.4520770284113217,0.7446239978044055,0.0851056266955297,84.51131556928158,0.05088558363146991,0.044625040774785844,0.020787845686819028,0.021271608295275673,0.2247005164304391,0.1657846166755562,0.369525456050308,0.6283408350239393,0.101784427244486,9.90126422047615,0.001,5640,12,0.22326537934933413,1
14,0.024766060398241564,0.020357702318199375,0.012733635411404085,0.024498978650833586,0.16163847056093306,0.19996245407666566,0.46568700233271115,0.7561861150824185,0.08347515407216613,98.75677635520697,0.05041153662745825,0.04417429478215009,0.0206003515534225,0.021743095858735996,0.22332151610618753,0.16651352244421283,0.3705238422551811,0.6313933978438179,0.10229177906629112,8.838893726468086,0.001,5640,12,0.22326537934933413,2
15,0.023623034064374562,0.019323360761521087,0.012409032979538836,0.023948298399915056,0.15789619254078027,0.20806033778764818,0.4766428722391438,0.7650343970095199,0.08205448012420452,85.02979384362698,0.05067128284671723,0.0445730880493117,0.020531784501844865,0.01930496078881968,0.22368455797984962,0.1683291691660741,0.369136708942767,0.6292376126574485,0.101719620028253,8.713134326040745,0.001,5640,12,0.22326537934933413,3
16,0.022631810372827885,0.01844039911693862,0.012125909084972717,0.023198681343977227,0.15456948804349552,0.2153922208907574,0.48721842633891993,0.7728928976825786,0.08087479162529145,54.9842299297452,0.04972838781227081,0.0436549177727969,0.020212416568843233,0.020407308285980006,0.22106276619993945,0.17058657352668072,0.3772165338705832,0.6344150603057148,0.10080185002564455,5.759200140833855,0.001,5640,16,0.22106276619993945,0
17,0.021535595023257956,0.017462582037184107,0.01181829722187388,0.022368777288540326,0.1508215639746457,0.22330559936446043,0.49813071738568837,0.7821693755721633,0.0795953417105383,180.3165281265974,0.04934324419192845,0.04334137892034104,0.02033571179142205,0.01835873018752313,0.2177180475190469,0.18492176643206934,0.39458223439905576,0.6475177167135663,0.09996186768557427,7.852762900292873,0.001,5640,17,0.2177180475190469,0
18,0.02079547182419691,0.016811893261943166,0.011613754394450013,0.021602801076007715,0.14810593012811413,0.23010440067478216,0.5070855144478152,0.789088677416804,0.07853010312543528,64.1128366664052,0.05086964286545395,0.044760792842702186,0.0205023981202494,0.01966505126628007,0.22096040711010517,0.17844110931994941,0.3864140437108495,0.644792049166606,0.09933907029705283,8.14911300688982,0.001,5640,17,0.2177180475190469,1
19,0.020110119787641087,0.01619276895522896,0.011406766149984622,0.021313184443198872,0.14565884819475042,0.23572515058555701,0.5146293408489008,0.7947250330886075,0.07777417452994885,78.24489122629166,0.04865383686185274,0.042607114854383295,0.020159156339164604,0.02013865870965221,0.21652245779590135,0.18281014221513328,0.39611071660424424,0.6521253137407428,0.09842720380845145,14.037625536322594,0.001,5640,19,0.21652245779590135,0
20,0.01936788276090841,0.01552557494361052,0.011196226770620465,0.02086502394535279,0.14295998384520617,0.24273159316086032,0.5235744585163966,0.8015803009621297,0.07677793220183135,204.1136033833027,0.049291360823576845,0.0432952900278162,0.020218274813741898,0.018830047013388175,0.2170492789487876,0.1912698960347022,0.4000954135033142,0.6497618891996874,0.09973486639295234,26.89039448648691,0.001,8192,19,0.21652245779590135,1
21,0.018704903578674704,0.014935510873438484,0.011013226635810105,0.020321722128188578,0.14043034535566448,0.24842819253869353,0.5323463539315698,0.8085754516406872,0.07603640501170651,89.73319037258625,0.04943025956073544,0.043456194404049776,0.02012779095475495,0.018842380795238693,0.21841447934258573,0.18583179352673346,0.39486494733551614,0.6459406500985092,0.09755640483070624,11.717345163226128,0.001,8192,19,0.21652245779590135,2
22,0.018222044266986696,0.014501290371532355,0.010873231920569729,0.02004891709682197,0.13871572834352872,0.25300375755142446,0.5382382146462134,0.8124033106125162,0.07548854045230209,94.59300339221954,0.04908552957628777,0.0431805840679648,0.02003395636821436,0.017929133739949334,0.21765645245735585,0.17872825601402612,0.3896609938972639,0.6470141377724185,0.09972532135318962,8.248929224908352,0.001,8192,19,0.21652245779590135,3
