epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
1,0.21621433185241531,0.19472536756880732,0.060605998381685254,0.12674924326086545,0.49433939829427204,0.023112914044968114,0.08476044104386843,0.2577880425573521,0.23982016854875265,162.54492720216513,0.15630589114896398,0.143026064180275,0.042918485099674046,0.05100405283423868,0.44607255132257756,0.025224636317661545,0.07947748230893607,0.2042886366919895,0.25228473959204156,21.311144568026066,0.001,8192,1,0.44607255132257756,0
2,0.10145494339145794,0.08937372373136443,0.032274741712029736,0.08025071482379417,0.32836376228368863,0.04952705898516515,0.16849990549120095,0.43336539603634555,0.14690098270807328,68.28051240742207,0.0998134027745597,0.08969848192719067,0.032940917622973756,0.037593879844728166,0.3326605928394656,0.056227526488609146,0.1783350883119144,0.42869070313312885,0.16226822587475573,18.587898284196854,0.001,8192,2,0.3326605928394656,0
3,0.08184459174624957,0.071822515506943,0.027251628153537263,0.06418337754549151,0.2953368996309993,0.06646247128902785,0.21014155928702163,0.4846993371604816,0.13142040150216694,70.95163759589195,0.08411910650218689,0.07486023151807819,0.02921957126762438,0.039079568290822514,0.3021620460436586,0.07893853286834526,0.2280863722205361,0.47791188201079143,0.12765772301468456,8.415243186056614,0.001,8192,3,0.3021620460436586,0
4,0.06705748124956445,0.05829898210825454,0.023572019695006406,0.05730988844523738,0.2684011556954505,0.07976744523360263,0.24136795968245087,0.525588435276571,0.12182041008560189,70.11359966546297,0.07482882017670967,0.06620938814722604,0.026773476290163876,0.0385212580440062,0.28304248966211676,0.08908140094859443,0.2480849613026554,0.5194728705884353,0.12336075282806855,7.31423918902874,0.001,8192,4,0.28304248966211676,0
5,0.05583269912684161,0.04806777052190226,0.02072406341680237,0.05167823905005494,0.2450389233012627,0.0924000164144832,0.27206772911567106,0.568741109320085,0.11388668408560286,65.83579340577126,0.07167327114320936,0.06346130690608413,0.025659957019835332,0.035939578298009076,0.2780688189348401,0.08079835422172552,0.2369260387653558,0.5188853318346653,0.1258335073952389,10.580280900001526,0.001,8192,5,0.2780688189348401,0
6,0.04880420133843384,0.04177237421281143,0.018863152673138435,0.046320770135484586,0.22880585115453042,0.10414985622790127,0.29813061091473364,0.6021584594032289,0.10785421358629248,78.36517018079758,0.06432261604121535,0.05672505320595806,0.02397337479497165,0.032084367903429487,0.26379356872756005,0.09497009047153111,0.27021724860074975,0.5458019305686649,0.11786778064347779,7.185868129134178,0.001,8192,6,0.26379356872756005,0
7,0.04308570374396513,0.03665006853095928,0.017408872960747526,0.041668339144872404,0.2147016398453934,0.11626656049235731,0.3247125902627007,0.6327926178034392,0.10308618890979356,69.07546401768923,0.05929491688154707,0.05201477862028703,0.023051142163804633,0.03034709712317757,0.2488729347600382,0.12235052869570809,0.3127148092913712,0.5794377241478802,0.11135517669603992,7.645530179142952,0.001,8192,7,0.2488729347600382,0
8,0.03889284799002792,0.032876112621629996,0.01637344487106707,0.0384674759267555,0.20382164313480478,0.12713636056713384,0.34734030078401973,0.657279380044592,0.09908634350795684,84.53441447764635,0.0588640951422417,0.05185380564194213,0.022812756003645032,0.026141993919989604,0.24638342892565512,0.12546054105423504,0.3198846168546525,0.5892669283191365,0.11024406171330156,9.007456548511982,0.001,8192,8,0.24638342892565512,0
9,0.03583950847312127,0.030165437279845934,0.01559622546451801,0.03550028711194471,0.19550007345309492,0.13776140380408083,0.3666925907517453,0.6768758978946104,0.09621084868174462,71.46859258413315,0.05589265537791692,0.049032150813650206,0.02235606525016595,0.025429732898950976,0.23963277096377947,0.134079320954015,0.3338443157262812,0.6002403342942816,0.10844457699832068,7.414924837648869,0.001,8192,9,0.23963277096377947,0
10,0.03363079403424554,0.028173796267340585,0.015014183582803438,0.034069033665196084,0.18920826831128323,0.14616159933546105,0.38278400772653143,0.691493938462183,0.09400171180797773,71.31971837580204,0.054131697041514014,0.04743031098377919,0.021773174486543326,0.025161875742718293,0.23717263733730945,0.13971179842440196,0.3360133615434557,0.6003551575202536,0.10629982939990497,8.919210724532604,0.001,8192,10,0.23717263733730945,0
